MemTotal:        2052768 kB
MemFree:         1866732 kB
MemAvailable:    1881164 kB
Buffers:            1772 kB
Cached:           125660 kB
SwapCached:            0 kB
Active:            26260 kB
Inactive:         102244 kB
Active(anon):      22016 kB
Inactive(anon):    86968 kB
Active(file):       4244 kB
Inactive(file):    15276 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:          1072 kB
Mapped:             2228 kB
Shmem:            107912 kB
Slab:              28836 kB
SReclaimable:      15648 kB
SUnreclaim:        13188 kB
KernelStack:        1056 kB
PageTables:          348 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     1026384 kB
Committed_AS:     112728 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      302408 kB
VmallocChunk:   34358947836 kB
AnonHugePages:         0 kB
DirectMap4k:       14272 kB
DirectMap2M:     2082816 kB
